Drive_X,Drive_Y,Drive_Rotation,Lift,Mast,Claw,Winch,Time
0,0,0,0,0,0,0,9.003469
0,0,0,0,0,0,0,9.051233
0,0,0,0,0,0,0,9.091017
0,0,0,0,0,0,0,9.154889
0,0,0,0,0,0,0,9.192718
0,0,0,0,0,0,0,9.237739
0,0,0,0,0,0,0,9.273126
0,0,0,0,0,0,0,9.334843
0,0,0,0,0,0,0,9.380596
0,0,0,0,0,0,0,9.420793
0,0,0,0,0,0,0,9.458698
0,0,0,0,0,0,0,9.494337
0,0,0,0,0,0,0,9.539964
0,0,0,0,0,0,0,9.581507
0,0,0,0,0,0,0,9.64524
0,0,0,0,0,0,0,9.694982
0,0,0,0,0,0,0,9.743298
0,0,0,0,0,0,0,9.792481
0,0,0,0,0,0,0,9.84321
0,0,0,0,0,0,0,9.88665
0,0,0,0,0,0,0,9.939148
0,0,0,0,0,0,0,9.986734
0,0,0,0,0,0,0,10.024305
0,0,0,0,0,0,0,10.063265
0,0,0,0,0,0,0,10.102697
0,0,0,0,0,0,0,10.152829
0,0,0,0,0,0,0,10.199768
0,0,0,0,0,0,0,10.25327
0,0,0,0,0,0,0,10.290115
0,0,0,0,0,0,0,10.334173
0,0,0,0,0,0,0,10.368518
0,0,0,0,0,0,0,10.410931
0,0,0,0,0,0,0,10.450639
0,0,0,0,0,0,0,10.489496
0,0,0,0,0,0,0,10.541394
0,0,0,0,0,0,0,10.591696
0,0,0,0,0,0,0,10.648956
0,0,0,0,0,0,0,10.700246
0,0,0,0,0,0,0,10.749653
0,0,0,0,0,0,0,10.796392
0,0,0,0,0,0,0,10.841288
0,0,0,0,0,0,0,10.885816
0,0,0,0,0,0,0,10.930824
0,0,0,0,0,0,0,10.970839
0,0,0,0,0,0,0,11.035857
0,0,0,0,0,0,0,11.072818
0,0,0,0,0,0,0,11.125754
0,0,0,0,0,0,0,11.179492
0,0,0,0,0,0,0,11.226983
0,0,0,0,0,0,0,11.27872
0,0,0,0,0,0,0,11.327049
0,0,0,0,0,0,0,11.390381
0,0,0,0,0,0,0,11.431472
0,0,0,0,0,0,0,11.485285
0,0,0,0,0,0,0,11.542045
0,0,0,0,0,0,0,11.596546
0,0,0,0,0,0,0,11.656562
0,0,0,0,0,0,0,11.697351
0,0,0,0,0,0,0,11.745981
0,0,0,0,0,0,0,11.785326
0,0,0,0,0,0,0,11.854398
0,0,0,0,0,0,0,11.910385
0,0,0,0,0,0,0,11.983531
0,0,0,0,0,0,0,12.06196
0,0,0,0,0,0,0,12.107164
0,0,0,0,0,0,0,12.148125
0,0,0,0,0,0,0,12.190958
0,0,0,0,0,0,0,12.241579
0,0,0,0,0,0,0,12.28956
0,0,0,0,0,0,0,12.327455
0,0,0,0,0,0,0,12.395984
0,0,0,0,0,0,0,12.437223
0,0,0,0,0,0,0,12.489814
0,0,0,0,0,0,0,12.556593
0,0,0,0,0,0,0,12.591776
0,0,0,0,0,0,0,12.647784
0,0,0,0,0,0,0,12.694632
0,0,0,0,0,0,0,12.751051
0,0,0,0,0,0,0,12.788416
0,0,0,0,0,0,0,12.83806
0,0,0,0,0,0,0,12.879284
0,0,0,0,0,0,0,12.91202
0,0,0,0,0,0,0,12.955421
0,0,0,0,0,0,0,13.011373
0,0,0,0,0,0,0,13.075607
0,0,0,0,0,0,0,13.110926
0,0,0,0,0,0,0,13.146087
0,0,0,0,0,0,0,13.211478
0,0,0,0,0,0,0,13.272789
0,0,0,0,0,0,0,13.335446
0,0,0,0,0,0,0,13.376404
0,0,0,0,0,0,0,13.426361
0,0,0,0,0,0,0,13.466113
0,0,0,0,0,0,0,13.525807
0,0,0,0,0,0,0,13.570688
0,0,0,0,0,0,0,13.607983
0,0,0,0,0,0,0,13.650085
0,0,0,0,0,0,0,13.710136
0,0,0,0,0,0,0,13.754996
0,0,0,0,0,0,0,13.811943
0,0,0,0,0,0,0,13.860797
0,0,0,0,0,0,0,13.907033
0,0,0,0,0,0,0,13.950948
0,0,0,0,0,0,0,13.983314
0,0,0,0,0,0,0,14.043671
0,0,0,0,0,0,0,14.100875
0,0,0,0,0,0,0,14.160294
0,0,0,0,0,0,0,14.21523
0,0,0,0,0,0,0,14.251793
0,0,0,0,0,0,0,14.288073
0,0,0,0,0,0,0,14.326748
0,0,0,0,0,0,0,14.366371
0,0,0,0,0,0,0,14.407498
0,0,0,0,0,0,0,14.447597
0,0,0,0,0,0,0,14.488454
0,0,0,0,0,0,0,14.531477
0,0,0,0,0,0,0,14.580528
0,0,0,0,0,0,0,14.6275
0,0,0,0,0,0,0,14.670125
0,0,0,0,0,0,0,14.721078
0,0,0,0,0,0,0,14.761464
0,0,0,0,0,0,0,14.801293
0,0,0,0,0,0,0,14.847563
0,0,0,0,0,0,0,14.886388
0,0,0,0,0,0,0,14.935833
0,0,0,0,0,0,0,14.971017
0,0,0,0,0,0,0,15.01027
